country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,TamilNadu,Chennai,"Manali, Chennai - CPCB",16-12-2025 21:00,13.164544,80.26285,PM10,NA,NA,NA
India,Rajasthan,Jodhpur,"Samrat Ashok Udhyan, Jodhpur - RSPCB",16-12-2025 21:00,26.253384,72.976571,SO2,5,16,10
India,Rajasthan,Jodhpur,"Samrat Ashok Udhyan, Jodhpur - RSPCB",16-12-2025 21:00,26.253384,72.976571,OZONE,4,241,131
India,Rajasthan,Karauli,"Satyawati Vihar, Karauli - RSPCB",16-12-2025 21:00,26.506177,77.025989,PM2.5,38,289,110
India,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB",16-12-2025 21:00,17.349694,78.451437,PM10,91,156,121
India,Tripura,Agartala,"Bardowali, Agartala - Tripura SPCB",16-12-2025 21:00,23.8175497,91.2726974,PM10,41,78,64
India,Tripura,Agartala,"Bardowali, Agartala - Tripura SPCB",16-12-2025 21:00,23.8175497,91.2726974,NO2,13,13,13
India,Tripura,Agartala,"Bardowali, Agartala - Tripura SPCB",16-12-2025 21:00,23.8175497,91.2726974,NH3,5,7,6
India,Uttar_Pradesh,Agra,"Manoharpur, Agra - UPPCB",16-12-2025 21:00,27.23711,78.01936,PM10,NA,NA,NA
India,Uttar_Pradesh,Agra,"Manoharpur, Agra - UPPCB",16-12-2025 21:00,27.23711,78.01936,NH3,3,3,3
India,Uttar_Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",16-12-2025 21:00,27.19865833,78.00598056,NO2,4,20,10
India,TamilNadu,Cuddalore,"Semmandalam, Cuddalore - TNPCB",16-12-2025 21:00,11.7637683,79.7499835,PM2.5,22,305,146
India,TamilNadu,Dindigul,"Mendonsa Colony, Dindigul - TNPCB",16-12-2025 21:00,10.358535,77.984321,CO,22,27,23
India,TamilNadu,Gummidipoondi,"Anthoni Pillai Nagar, Gummidipoondi - TNPCB",16-12-2025 21:00,13.4127,80.1081,PM2.5,20,416,241
India,TamilNadu,Gummidipoondi,"Anthoni Pillai Nagar, Gummidipoondi - TNPCB",16-12-2025 21:00,13.4127,80.1081,NO2,1,4,3
India,TamilNadu,Karur,"Kamadenu Nagar, Karur - TNPCB",16-12-2025 21:00,10.96782,78.080882,PM2.5,42,160,80
India,TamilNadu,Karur,"Kamadenu Nagar, Karur - TNPCB",16-12-2025 21:00,10.96782,78.080882,NO2,5,6,5
India,TamilNadu,Karur,"Kamadenu Nagar, Karur - TNPCB",16-12-2025 21:00,10.96782,78.080882,NH3,3,3,3
India,TamilNadu,Ooty,"Bombay Castel, Ooty - TNPCB",16-12-2025 21:00,11.4068288,76.7138973,PM10,NA,NA,NA
India,TamilNadu,Ooty,"Bombay Castel, Ooty - TNPCB",16-12-2025 21:00,11.4068288,76.7138973,NO2,NA,NA,NA
India,TamilNadu,Perundurai,"SIPCOT Industrial Park, Perundurai - TNPCB",16-12-2025 21:00,11.258242,77.552761,NH3,2,6,3
India,TamilNadu,Perundurai,"SIPCOT Industrial Park, Perundurai - TNPCB",16-12-2025 21:00,11.258242,77.552761,OZONE,8,40,21
India,TamilNadu,Thoothukudi,"Meelavittan, Thoothukudi - TNPCB",16-12-2025 21:00,8.816428,78.099039,SO2,NA,NA,NA
India,TamilNadu,Tirupur,"Kumaran College, Tirupur - TNPCB",16-12-2025 21:00,11.0973603,77.3228673,OZONE,3,3,3
India,Uttar_Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",16-12-2025 21:00,27.19865833,78.00598056,CO,30,75,44
India,Uttar_Pradesh,Agra,"Sector-3B Avas Vikas Colony, Agra - UPPCB",16-12-2025 21:00,27.19412,77.96237,PM2.5,48,373,133
India,Uttar_Pradesh,Agra,"Sector-3B Avas Vikas Colony, Agra - UPPCB",16-12-2025 21:00,27.19412,77.96237,PM10,112,412,176
India,Uttar_Pradesh,Agra,"Sector-3B Avas Vikas Colony, Agra - UPPCB",16-12-2025 21:00,27.19412,77.96237,OZONE,3,43,17
India,Uttar_Pradesh,Agra,"Shahjahan Garden, Agra - UPPCB",16-12-2025 21:00,27.169338,78.03582,SO2,10,22,16
India,Telangana,Hyderabad,"New Malakpet, Hyderabad - TSPCB",16-12-2025 21:00,17.37206,78.50864,NH3,2,4,2
India,Telangana,Hyderabad,"New Malakpet, Hyderabad - TSPCB",16-12-2025 21:00,17.37206,78.50864,OZONE,10,33,21
